"","STABBR","RELAFFIL","TUITIONFEE_IN","WDRAW_ORIG_YR2_RT","LO_INC_WDRAW_ORIG_YR2_RT"
"513","CA","NULL","NULL","0.161756531406","0.187347931873"
"514","CA","NULL","NULL","NULL","NULL"
"515","CA","108","44044","0.03355704698","PrivacySuppressed"
"516","CA","NULL","46310","0.090439276486","0.08547008547"
"517","CA","NULL","38460","0.139013452915","0.145161290323"
"518","CA","NULL","NULL","NULL","NULL"
"519","CA","NULL","NULL","0.530033637674","0.56156933834"
"520","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"521","CA","NULL","14700","0.344827586207","PrivacySuppressed"
"522","CA","NULL","1124","0.544973544974","0.580146460537"
"523","CO","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"524","CO","NULL","9440","0.280065897858","0.342629482072"
"525","CO","NULL","1835","0.43879472693","0.504012841091"
"526","CO","NULL","3676","0.412591050989","0.432459677419"
"527","CO","NULL","11963","0.281938325991","0.276422764228"
"528","CO","NULL","12015","0.24335106383","0.263157894737"
"529","CO","NULL","9107","0.165591397849","0.176605504587"
"530","CO","NULL","8314","0.189065108514","0.198041349293"
"531","CO","NULL","15743","0.210332103321","0.203488372093"
"532","CO","NULL","12086","0.100533557989","0.116895874263"
"533","CO","88","30370","0.349075975359","0.39837398374"
"534","CO","NULL","52818","0.07614213198","PrivacySuppressed"
"535","CO","NULL","NULL","0.153094462541","0.182250396197"
"536","CO","NULL","17626","0.530959752322","0.566137566138"
"537","CO","NULL","1840","0.401337792642","0.425389755011"
"538","CO","NULL","3943","0.343971631206","0.410852713178"
"539","CO","NULL","18386","0.066945606695","PrivacySuppressed"
"540","CO","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"541","CO","NULL","11395","0.112416107383","0.139871382637"
"542","CO","NULL","11689","0.52559039252","0.552166447834"
"543","CO","NULL","3702","0.441160066927","0.474704890388"
"544","CO","NULL","16968","0.406940063091","0.399082568807"
"545","CO","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"546","CO","NULL","3909","0.512745098039","0.55693868142"
"547","CO","NULL","NULL","0.271472117626","0.309594755662"
"548","CO","79","NULL","PrivacySuppressed","PrivacySuppressed"
"549","CO","NULL","48669","0.134549600912","0.156398104265"
"550","CO","NULL","NULL","0.298932384342","PrivacySuppressed"
"551","CO","NULL","8609","0.288228822882","0.314666666667"
"552","CO","NULL","3908","0.447239536955","0.475693049417"
"553","CO","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"554","CO","71","NULL","PrivacySuppressed","PrivacySuppressed"
"555","CO","NULL","NULL","0.23178807947","PrivacySuppressed"
"556","CO","NULL","3908","0.350710900474","0.357723577236"
"557","CO","NULL","8374","0.343537414966","0.415950920245"
"558","CO","NULL","7352","0.291693775754","0.311158798283"
"559","CO","NULL","3677","0.407114624506","0.41610738255"
"560","CO","NULL","31790","0.348148148148","0.348837209302"
"561","CO","NULL","15000","0.444379732091","0.471997052321"
"562","CO","59","11760","0.414893617021","0.487179487179"
"563","CO","NULL","4941","0.348336594912","0.430962343096"
"564","CO","NULL","9546","0.173245614035","0.198033707865"
"565","CO","NULL","3856","0.41018766756","0.477178423237"
"566","CO","NULL","12510","0.312849162011","0.330909090909"
